name,year_start,height,weight,college,pos,age,per,team,conf
Keith Bogans,2004,195.58,97.52228,University of Kentucky,SF,23.0,11.0,ORL,East
Muggsy Bogues,1988,160.02,61.688512,Wake Forest University,PG,23.0,12.7,WSB,East
Andrew Bogut,2006,213.36,117.93392,University of Utah,PF,21.0,15.2,MIL,East
Etdrick Bohannon,1998,205.74,99.79024,Auburn University at Montgomery,PF,24.0,-10.3,IND,East
Manute Bol,1986,231.14000000000001,90.7184,University of Bridgeport,C,23.0,11.2,WSB,East
Bill Bolger,1954,195.58,92.98636,Georgetown University,SF,22.0,10.7,BLB,East
Joel Bolomboy,2017,205.74,106.59412,Weber State University,PF,23.0,19.7,UTA,West
Doug Bolstorff,1958,193.04,88.45044,University of Minnesota,G,26.0,2.2,DET,East
Phil Bond,1978,187.96,79.3786,University of Louisville,SG,23.0,5.3,HOU,West
Walter Bond,1993,195.58,90.7184,University of Minnesota,SG,23.0,9.0,DAL,West
Dexter Boney,1997,193.04,83.91452,"University of Nevada, Las Vegas",SG,26.0,10.2,PHO,West
Ron Bonham,1965,195.58,87.089664,University of Cincinnati,SF,22.0,21.6,BOS,East
Anthony Bonner,1991,203.2,97.52228,Saint Louis University,PF,22.0,12.2,SAC,West
Matt Bonner,2005,208.28,106.59412,University of Florida,C,24.0,14.7,TOR,East
Devin Booker,2016,198.12,93.439952,University of Kentucky,SG,19.0,11.9,PHO,West
Melvin Booker,1996,185.42000000000002,83.91452,University of Missouri,PG,23.0,6.2,HOU,West
Trevor Booker,2011,203.2,103.418976,Clemson University,PF,23.0,15.3,WAS,East
Josh Boone,2007,208.28,107.501304,University of Connecticut,PF,22.0,14.6,NJN,East
Calvin Booth,2000,210.82,104.32616,Pennsylvania State University,C,23.0,11.9,WAS,East
Keith Booth,1998,198.12,102.511792,University of Maryland,SF,23.0,13.8,CHI,East
Bob Boozer,1961,203.2,97.52228,Kansas State University,PF,23.0,13.0,CIN,East
Carlos Boozer,2003,205.74,117.026736,Duke University,PF,21.0,17.9,CLE,East
Curtis Borchardt,2004,213.36,108.86207999999999,Stanford University,C,23.0,7.9,UTA,West
Chris Bosh,2004,210.82,106.59412,Georgia Institute of Technology,C,19.0,15.1,TOR,East
Jim Bostic,1978,200.66,102.0582,New Mexico State University,PF,25.0,18.9,DET,East
Lawrence Boston,1980,203.2,102.0582,University of Maryland,PF,23.0,12.6,WSB,East
Tom Boswell,1976,205.74,99.79024,University of South Carolina,PF,22.0,8.8,BOS,East
Ruben Boumtje-Boumtje,2002,213.36,116.573144,Georgetown University,C,23.0,6.5,POR,West
Cal Bowdler,2000,208.28,111.13004,Old Dominion University,SF,22.0,10.0,ATL,East
Bruce Bowen,1997,200.66,83.91452,"California State University, Fullerton",SF,25.0,37.7,MIA,West
Ryan Bowen,2000,200.66,97.52228,University of Iowa,SF,24.0,11.8,DEN,West
Anthony Bowie,1989,198.12,86.18248,University of Oklahoma,SG,25.0,10.6,SAS,West
Sam Bowie,1985,215.9,106.59412,University of Kentucky,C,23.0,15.7,POR,West
Ira Bowman,2000,195.58,88.45044,University of Pennsylvania,SG,26.0,13.3,PHI,East
